arch,optimizer,seed,n_points,d_full,k_initial,k_used,kmax,k_used_over_n_minus_1,connected_at_initial_k,initial_components,connected_at_final_k,final_components,adaptive_growth_used,edge_count,possible_edges,graph_density,edge_median,edge_p95,edge_p99,edge_max,edge_max_over_median,allpair_median,allpair_p95,allpair_p99,allpair_max,edge_max_over_allpair_median,edge_max_over_allpair_p95,edge_p95_over_allpair_p95,near_complete_graph_flag,geo_Lobs,geo_pperm,geo_formal_trigger,decision,kinematic_R,val_acc,trajectory_file,trajectory_sha256,elapsed_sec,geo_zero_frac,geo_null_collapsed,d_full_main
resnet18_cifar10,sgd,20042,200,11173962,12,12,199,0.06030150753768844,True,1,True,1,False,1358,19900,0.06824120603015076,0.1733374455117351,0.8760075726909516,1.5299598679942497,2.2018408039557755,12.702626356599943,2.177594568605122,6.415266320680283,7.081845056450315,7.337573980677402,1.0111344121165646,0.3432189240308805,0.136550460869709,False,0.0,1.0,False,matched_step_non_detection,3.133113949986415,82.16000366210938,exp4_results/trajectories/resnet18_cifar10__sgd__seed20042.npy,af4d36aa5cd192e3ba6cd0bbf228eb33176e14c9bf87ef78b484cf9981d6bccb,27.35631823539734,1.0,True,11173962
resnet18_cifar10,sgd,21042,200,11173962,12,12,199,0.06030150753768844,True,1,True,1,False,1358,19900,0.06824120603015076,0.17524737534255086,0.8628844280159281,1.5421993384028072,2.236356990871187,12.761143991384094,2.176922263197038,6.451863666681397,7.114815028955538,7.382385224614732,1.027302181928093,0.34662186097015607,0.13374188801785866,False,0.0,1.0,False,matched_step_non_detection,3.168347741440108,82.1500015258789,exp4_results/trajectories/resnet18_cifar10__sgd__seed21042.npy,ec16b1098fcdb12db9af69463b8c49b57e2b0db75d4fe49ddb75fb9c6751e23c,28.487831354141235,1.0,True,11173962
resnet18_cifar10,sgd,22042,200,11173962,12,12,199,0.06030150753768844,True,1,True,1,False,1351,19900,0.0678894472361809,0.17489741251918808,0.8380962872955052,1.5184053997772513,2.186722860757463,12.502888574781252,2.1969915666663953,6.444610727922954,7.084993828553497,7.336457511137542,0.9953260148715506,0.3393103095090876,0.13004606836284227,False,0.0,1.0,False,matched_step_non_detection,3.196324428124876,81.86000061035156,exp4_results/trajectories/resnet18_cifar10__sgd__seed22042.npy,62601ae881e517143488de7bd7ced70db411d6e86d98da2e99f408e458164419,27.50579595565796,1.0,True,11173962
resnet18_cifar10,sgd_momentum,20142,200,11173962,12,12,199,0.06030150753768844,True,1,True,1,False,1479,19900,0.074321608040201,0.5007761038844036,3.49216481743495,6.202238693817276,8.773532364213331,17.51987024968157,3.9887701357909067,16.81088978387776,19.115845828522474,19.693671111300986,2.1995582762433328,0.5218957757147953,0.2077323010459478,False,0.0,1.0,False,matched_step_non_detection,5.774062121937031,89.83000183105469,exp4_results/trajectories/resnet18_cifar10__sgd_momentum__seed20142.npy,3d665843b3298b1ef75967938fc87174919121f1571e518579c2020ac8711a1c,27.096484899520874,1.0,True,11173962
resnet18_cifar10,sgd_momentum,21142,200,11173962,12,12,199,0.06030150753768844,True,1,True,1,False,1485,19900,0.07462311557788945,0.5093241279467792,3.532356182258217,6.31755231846751,8.798907317466973,17.275653821703735,4.003117234305842,16.908304017599445,19.189638386618512,19.745700308507445,2.198013898284082,0.5203897036809774,0.20891250704868236,False,0.0,1.0,False,matched_step_non_detection,5.802696510079244,89.8499984741211,exp4_results/trajectories/resnet18_cifar10__sgd_momentum__seed21142.npy,72a1f461d8fe1f098b43cefa069497cafb3c05e5eb0f70a2d0cdd2f64f74aa11,28.96031665802002,1.0,True,11173962
resnet18_cifar10,sgd_momentum,22142,200,11173962,12,12,199,0.06030150753768844,True,1,True,1,False,1484,19900,0.07457286432160803,0.5027126865785152,3.480070191059973,6.176758532839847,8.717823013692561,17.34156158462821,3.958086964775315,16.759532908527007,19.058590708902972,19.62961523344161,2.202534479730724,0.5201710012608132,0.2076472065214393,False,0.0,1.0,False,matched_step_non_detection,5.748698083847414,89.6500015258789,exp4_results/trajectories/resnet18_cifar10__sgd_momentum__seed22142.npy,6453012e19eda11d93ec50459e125b56a9daf2f3e589583658a5578e914644ff,28.69659924507141,1.0,True,11173962
resnet18_cifar10,adam,20242,200,11173962,12,12,199,0.06030150753768844,True,1,True,1,False,1393,19900,0.07,13.997565031832359,33.96417474353511,46.299142101992445,64.92022034135009,4.637965259936859,67.23202460957134,175.31101873005682,196.21280691565823,203.1227419263302,0.9656145373927487,0.3703145461798588,0.1937366800419591,False,0.0,1.0,False,matched_step_non_detection,8.632819760441034,93.22000122070312,exp4_results/trajectories/resnet18_cifar10__adam__seed20242.npy,e245d052d1323381c77dc236245d626a60d66687c0f88661f5974a5807edd942,26.735326051712036,1.0,True,11173962
resnet18_cifar10,adam,21242,200,11173962,12,12,199,0.06030150753768844,True,1,True,1,False,1398,19900,0.07025125628140703,13.941711338359266,34.13233425226872,46.46278687380903,65.47117012086562,4.6960641008771535,67.52245277835303,175.9237199301949,196.8431648316624,203.82626561762018,0.9696207324662532,0.37215658097068255,0.1940178065005217,False,0.0,1.0,False,matched_step_non_detection,8.660769822814046,93.62000274658205,exp4_results/trajectories/resnet18_cifar10__adam__seed21242.npy,77e272c76c6e2896e60474e814528f830aa737fc7ad4b3a5a8a3e5ef6b6240aa,27.124855756759644,0.995,True,11173962
resnet18_cifar10,adam,22242,200,11173962,12,12,199,0.06030150753768844,True,1,True,1,False,1395,19900,0.07010050251256282,13.840786213797577,34.07425913105086,46.335925749779186,65.02714653889724,4.698226353216005,67.610325525171,175.68577886715676,196.48384773627757,203.4973751010782,0.9617931289901419,0.37013323991389524,0.19395001320406027,False,0.0,1.0,False,matched_step_non_detection,8.685637741413768,93.38999938964844,exp4_results/trajectories/resnet18_cifar10__adam__seed22242.npy,4b0f1e03ec84e63a61da54d38a3aa0f831b046e122dca277224e70b0188b6303,27.081413507461548,1.0,True,11173962
resnet18_cifar10,adamw,20342,200,11173962,12,12,199,0.06030150753768844,True,1,True,1,False,1396,19900,0.07015075376884422,13.824061128558032,34.653587136621674,47.208934395139636,66.25420365646173,4.792672937447276,66.54430168793154,168.88106670062524,189.19183064459622,196.14465869487466,0.9956405278271421,0.39231279711129424,0.20519521704615792,False,0.0,1.0,False,matched_step_non_detection,9.126700166153976,93.9000015258789,exp4_results/trajectories/resnet18_cifar10__adamw__seed20342.npy,c3e913cf41d8e6cd183b99fab6a36324efc72d5eed2d270bf623d86b6d7fe84d,26.88405680656433,1.0,True,11173962
