arch,optimizer,seed,lag,acf_mag,cos_sim
resnet18_cifar10,adam,22242,0,1.0,1.0
resnet18_cifar10,adam,22242,1,0.9900433566118496,-0.021693518589640293
resnet18_cifar10,adam,22242,2,0.9836818093184898,-0.015911517847770354
resnet18_cifar10,adam,22242,3,0.9801506125785577,-0.004779231913946428
resnet18_cifar10,adam,22242,4,0.9783457483213768,0.0007425258394015089
resnet18_cifar10,adam,22242,5,0.9740790894020998,0.000619108636420283
resnet18_cifar10,adam,22242,6,0.9689870456606541,0.0028005908392849544
resnet18_cifar10,adam,22242,7,0.9646821181891782,0.002344543207280011
resnet18_cifar10,adam,22242,8,0.9597201197693083,0.0035931270724441776
resnet18_cifar10,adam,22242,9,0.9534771527580035,0.00601082639531524
resnet18_cifar10,adam,22242,10,0.9468874389180435,0.004234542811916431
resnet18_cifar10,adam,22242,11,0.9410633778246694,0.005443633452007369
resnet18_cifar10,adam,22242,12,0.9346770843578672,0.004377207569808303
resnet18_cifar10,adam,22242,13,0.9257306583420072,0.0034323057325117627
resnet18_cifar10,adam,22242,14,0.9190998896363473,0.005097582032816459
resnet18_cifar10,adam,22242,15,0.9120031884187892,0.0061683829234662054
resnet18_cifar10,adam,22242,16,0.9030850225314051,0.0027768012021931812
resnet18_cifar10,adam,22242,17,0.8918594240602448,0.007296627481107691
resnet18_cifar10,adam,22242,18,0.8810655744266866,0.004277618921234975
resnet18_cifar10,adam,22242,19,0.8732476997632879,0.002778042358365156
