dataset,type,param,k,k_used,seed,N_SAMPLES,SUBSAMPLE,N_NULLS,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
helix_p22,helix,22.0,8,8,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0014397073537111282,0.025238053873181343,0.07131939381361008,0.05704510184852075,1.0,0.0,-2.754458515651514,-0.06987968645989895,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,8,8,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0027516288682818413,0.027850092388689518,0.0829075425863266,0.0988014269317301,1.0,0.0,-2.3763934618433553,-0.08015591371804476,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,8,8,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0012438967823982239,0.028860682621598244,0.10736257955431938,0.04310004717020236,1.0,0.0,-2.8097711540174393,-0.10611868277192116,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,10,10,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0009205751121044159,0.025507621467113495,0.07926398515701294,0.03609019811020821,1.0,0.0,-2.3202480016689697,-0.07834341004490852,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,10,10,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0007012691348791122,0.025856444612145424,0.06471708044409752,0.02712163815912211,1.0,0.0,-2.386073577545026,-0.0640158113092184,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,10,10,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0010501723736524582,0.026765160262584686,0.07773913070559502,0.03923654345090058,1.0,0.0,-2.447195350335028,-0.07668895833194256,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,10,10,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0013996744528412819,0.02566770650446415,0.07910315319895744,0.05453056168237387,1.0,0.0,-2.307612359894145,-0.07770347874611616,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,12,12,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0004125479608774185,0.02529521845281124,0.07914028316736221,0.016309325876379604,1.0,0.0,-2.2384406535731873,-0.0787277352064848,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,12,12,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0013085408136248589,0.0243133082985878,0.10125695541501045,0.05381994081188217,1.0,0.0,-1.9076532219925806,-0.0999484146013856,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,12,12,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0012162458151578903,0.025130759924650192,0.07142772153019905,0.048396698657588375,1.0,0.0,-1.9875745102709288,-0.07021147571504116,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,12,12,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.001791778951883316,0.025863301008939743,0.07672875747084618,0.06927881909562521,1.0,0.0,-1.893340551635401,-0.07493697851896286,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,14,14,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0012868242338299751,0.024447966367006302,0.12492501735687256,0.052635225951307374,1.0,0.0,-1.8406153440619932,-0.12363819312304258,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,14,14,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0023885508999228477,0.0191683666780591,0.08372307941317558,0.12460899459588658,1.0,0.0,-1.987079234892568,-0.08133452851325274,0.0,False,False,False,False,False,False
helix_p22,helix,22.0,14,14,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0014964621514081955,0.020512305200099945,0.0881744921207428,0.07295436260025762,1.0,0.0,-1.9795709777000208,-0.0866780299693346,0.0,False,False,False,False,False,False
