dataset,type,param,k,k_used,seed,N_SAMPLES,SUBSAMPLE,N_NULLS,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
helix_p15,helix,15.0,14,14,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0015731444582343102,0.044851552695035934,0.12377389892935753,0.03507447041790702,1.0,0.0,-1.9643766303259844,-0.12220075447112322,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,14,14,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0019195275381207466,0.045504163950681686,0.16597092896699905,0.04218355797414463,1.0,0.0,-1.9054806503674433,-0.1640514014288783,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,16,16,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0024140719324350357,0.04641522280871868,0.19720174372196198,0.0520103488963445,1.0,0.0,-1.818622469225775,-0.19478767178952694,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,16,16,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0019623572006821632,0.03815435990691185,0.12496348097920418,0.05143205666189778,1.0,0.0,-1.8892584350930142,-0.12300112377852201,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,16,16,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0019755251705646515,0.041079217568039894,0.13793712109327316,0.0480906231294323,1.0,0.0,-1.918105998738932,-0.1359615959227085,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,16,16,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.001971740275621414,0.04026372730731964,0.1789076142013073,0.04897063454962343,1.0,0.0,-2.0784528940281572,-0.17693587392568588,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,20,20,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0015270067378878593,0.03929165378212929,0.1256416216492653,0.03886338677206589,1.0,0.0,-1.9257259734664685,-0.12411461491137743,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,20,20,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0014996035024523735,0.03425433859229088,0.1336984559893608,0.04377849825849765,1.0,0.0,-1.8924250925473727,-0.13219885248690844,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,20,20,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.002214592881500721,0.03640460781753063,0.2666549012064934,0.06083276305406184,1.0,0.0,-2.0700052131211186,-0.26444030832499266,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,20,20,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0014864029362797737,0.03517570719122887,0.13964419811964035,0.04225651891394396,1.0,0.0,-2.1770938412586482,-0.13815779518336058,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,6,6,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0010672863572835922,0.035767313092947006,0.1915980763733387,0.029839712993823174,1.0,0.0,-2.547331593963801,-0.1905307900160551,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,6,6,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0020705079659819603,0.040544829331338406,0.11616691201925278,0.05106712742604964,1.0,0.0,-2.0859731760362483,-0.11409640405327082,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,6,6,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0023584235459566116,0.037139566615223885,0.10726512968540192,0.06350164422560517,1.0,0.0,-2.416306570487222,-0.1049067061394453,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,6,6,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0006140964105725288,0.04040299728512764,0.10554227232933044,0.015199278564003436,1.0,0.0,-2.292570588685576,-0.10492817591875792,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,8,8,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0013568401336669922,0.041602361015975475,0.13630114868283272,0.032614498324105824,1.0,0.0,-2.627662293445559,-0.13494430854916573,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,8,8,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0016559427604079247,0.0348920002579689,0.14984501898288727,0.04745909515411828,1.0,0.0,-2.4162401834385467,-0.14818907622247934,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,8,8,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0026566805317997932,0.03721916861832142,0.10725812241435051,0.07137936257986813,1.0,0.0,-2.525343988222075,-0.10460144188255072,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,8,8,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0016193892806768417,0.036457886919379234,0.13001267239451408,0.044418078431518626,1.0,0.0,-2.628597532038046,-0.12839328311383724,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,10,10,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0011658743023872375,0.03632601350545883,0.14109467715024948,0.03209474946046428,1.0,0.0,-2.1896833993259537,-0.13992880284786224,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,10,10,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0007187109440565109,0.03383186925202608,0.10721956938505173,0.021243607282864695,1.0,0.0,-2.521484100492114,-0.10650085844099522,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,10,10,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0010470971465110779,0.03609035536646843,0.11523546278476715,0.029013212417822943,1.0,0.0,-2.475568170997211,-0.11418836563825607,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,10,10,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0017896201461553574,0.037088505923748016,0.11564430966973305,0.048252689115772636,1.0,0.0,-2.327690846045682,-0.11385468952357769,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,12,12,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0003663357347249985,0.03620760701596737,0.14858435094356537,0.010117645569709389,1.0,0.0,-2.2459194444959243,-0.14821801520884037,0.0,False,False,False,False,False,False
