experiment,calib_id,block_size,n_steps,n_checkpoints,d,n_pool_steps,n_source_files,n_nulls,geodesic_k,geodesic_max_k,geodesic_pct,alpha,sample_with_replacement,seed,runtime_sec,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
block_type1_calibration_mlp2_empirical_random_walk,17,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.84,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,18,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.181,0.0,0.0,0.011607706546783447,0.0,1.0,0.0,0.0,-0.011607706546783447,0.94,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,18,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.263,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,18,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.982,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,18,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.243,0.0,0.0,0.004228949546813965,0.0,1.0,0.0,0.0,-0.004228949546813965,0.995,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,19,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.598,0.0,0.0,1.8030405044555664e-05,0.0,1.0,0.0,0.0,-1.8030405044555664e-05,0.99,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,19,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.287,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,19,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.396,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,19,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.435,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,20,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.574,0.0,0.0,4.273653030395508e-05,0.0,1.0,0.0,0.0,-4.273653030395508e-05,0.96,True,True,False,False,False,False
