experiment,stress_name,stress_label,seed,rep,status,analysis_role,is_formal_inference,space,pca_d,pca_var,prefix_ep,N_pts,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,train_loss,val_loss,val_acc,kinematic_R,path_length,net_displacement,d_full
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,10,0.9976939558982849,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.6512718796730042,0.7083430886268616,75.81999969482422,1.5877557149924002,22.767505645751953,14.339426040649414,321290
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,50,0.9993947148323059,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.9741334319114685,0.959613561630249,66.91000366210938,1.9657117957236578,19.282175064086914,9.809258460998535,321290
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,50,0.9993947148323059,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.7802470922470093,0.8071117401123047,72.13999938964844,2.227693025076343,27.518661499023438,12.352986335754395,321290
stress,edge_of_stability,EoS,2042,2,ok,projection_diagnostic,False,pca,50,0.9993947148323059,200,200,0.0,0.0,0.002484053373336792,0.0,1.0,0.0,0.0,-0.002484053373336792,0.995,True,True,False,False,False,False,0.0,0.0,0.014039963483810425,0.0,1.0,0.0,0.0,-0.014039963483810425,0.995,True,True,False,False,False,False,pca_non_trigger,0.6512718796730042,0.7083430886268616,75.81999969482422,2.482793250991516,35.61995315551758,14.346725463867188,321290
stress,extreme_momentum,Momentum99,10042,0,ok,formal_matched_step,True,full,321290,1.0,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,0.8223350644111633,0.8728542327880859,73.37999725341797,15.925270061693139,2127.296875,133.5799560546875,321290
stress,extreme_momentum,Momentum99,10042,0,ok,projection_diagnostic,False,pca,3,0.7473465204238892,100,100,0.0,0.0,0.00019435212016105652,0.0,1.0,0.0,0.0,-0.00019435212016105652,0.99,True,True,False,False,False,False,0.0,0.0,0.005318045616149902,0.0,1.0,0.0,0.0,-0.005318045616149902,0.99,True,True,False,False,False,False,pca_non_trigger,0.8113327622413635,0.8257389068603516,73.88999938964844,1.2740375893494709,119.96442413330078,94.16082000732422,321290
stress,extreme_momentum,Momentum99,10042,0,ok,projection_diagnostic,False,pca,3,0.7473465204238892,150,150,0.0,0.0,0.002652280032634735,0.0,1.0,0.0,0.0,-0.002652280032634735,0.83,True,True,False,False,False,False,0.0,0.0,0.09328711032867432,0.0,1.0,0.0,0.0,-0.09328711032867432,0.83,True,True,False,False,False,False,pca_non_trigger,0.8515539169311523,0.9007444381713867,71.87000274658203,1.6287121602184622,175.79042053222656,107.93215942382812,321290
stress,extreme_momentum,Momentum99,10042,0,ok,projection_diagnostic,False,pca,3,0.7473465204238892,200,200,0.0008110874332487583,1.9762665033340454e-06,0.004138680174946785,410.4137885586947,0.31343283582089554,69.0,276.14595725750155,-0.0033275927416980267,0.5,False,False,False,False,False,False,0.055421799421310425,7.653236389160156e-05,0.15882277488708496,724.1615948992091,0.18407960199004975,82.0,487.76581975001403,-0.10340097546577454,0.5,False,False,False,False,False,False,pca_non_trigger,0.8223350644111633,0.8728542327880859,73.37999725341797,1.800830501868526,219.71826171875,122.00940704345703,321290
stress,extreme_momentum,Momentum99,10042,0,ok,projection_diagnostic,False,pca,10,0.8967543244361877,100,100,0.0,0.0,0.003228597342967987,0.0,1.0,0.0,0.0,-0.003228597342967987,0.955,True,True,False,False,False,False,0.0,0.0,0.11793112754821777,0.0,1.0,0.0,0.0,-0.11793112754821777,0.955,True,True,False,False,False,False,pca_non_trigger,0.8113327622413635,0.8257389068603516,73.88999938964844,2.2769129706310016,230.6467742919922,101.29801940917969,321290
stress,extreme_momentum,Momentum99,10042,0,ok,projection_diagnostic,False,pca,10,0.8967543244361877,150,150,0.0,0.0,0.0035521015524864197,0.0,1.0,0.0,0.0,-0.0035521015524864197,0.92,True,True,False,False,False,False,0.0,0.0,0.17519330978393555,0.0,1.0,0.0,0.0,-0.17519330978393555,0.92,True,True,False,False,False,False,pca_non_trigger,0.8515539169311523,0.9007444381713867,71.87000274658203,2.984676106407627,352.0477294921875,117.95173645019531,321290
stress,extreme_momentum,Momentum99,10042,0,ok,projection_diagnostic,False,pca,10,0.8967543244361877,200,200,0.0,0.0,0.006472267210483551,0.0,1.0,0.0,0.0,-0.006472267210483551,0.66,False,True,False,False,False,False,0.0,0.0,0.4088428020477295,0.0,1.0,0.0,0.0,-0.4088428020477295,0.66,False,True,False,False,False,False,pca_non_trigger,0.8223350644111633,0.8728542327880859,73.37999725341797,3.653660088752721,469.9098815917969,128.61346435546875,321290
stress,extreme_momentum,Momentum99,10042,0,ok,projection_diagnostic,False,pca,22,0.9525187611579895,100,100,0.0,0.0,0.00368383526802063,0.0,1.0,0.0,0.0,-0.00368383526802063,0.99,True,True,False,False,False,False,0.0,0.0,0.17857885360717773,0.0,1.0,0.0,0.0,-0.17857885360717773,0.99,True,True,False,False,False,False,pca_non_trigger,0.8113327622413635,0.8257389068603516,73.88999938964844,3.5464025563295265,369.7215576171875,104.2525634765625,321290
stress,extreme_momentum,Momentum99,10042,0,ok,projection_diagnostic,False,pca,22,0.9525187611579895,150,150,0.0,0.0,0.00328189879655838,0.0,1.0,0.0,0.0,-0.00328189879655838,0.985,True,True,False,False,False,False,0.0,0.0,0.23313474655151367,0.0,1.0,0.0,0.0,-0.23313474655151367,0.985,True,True,False,False,False,False,pca_non_trigger,0.8515539169311523,0.9007444381713867,71.87000274658203,4.773195486729187,574.3809814453125,120.33468627929688,321290
stress,extreme_momentum,Momentum99,10042,0,ok,projection_diagnostic,False,pca,22,0.9525187611579895,200,200,0.0,0.0,0.005036856979131699,0.0,1.0,0.0,0.0,-0.005036856979131699,0.91,True,True,False,False,False,False,0.0,0.0,0.46082448959350586,0.0,1.0,0.0,0.0,-0.46082448959350586,0.91,True,True,False,False,False,False,pca_non_trigger,0.8223350644111633,0.8728542327880859,73.37999725341797,5.924977647652888,780.622314453125,131.7510986328125,321290
