arch,optimizer,seed,lag,acf_mag,cos_sim
mlp2_mnist,sgd,2042,15,0.2808496731153775,0.8805592802318235
mlp2_mnist,sgd,2042,16,0.2739359335657097,0.8756101854973254
mlp2_mnist,sgd,2042,17,0.2666938308442338,0.8771789702555834
mlp2_mnist,sgd,2042,18,0.26168283023452066,0.8737001124695268
mlp2_mnist,sgd,2042,19,0.25569287990584505,0.8692704390461599
mlp2_mnist,sgd,2042,20,0.24917918588304253,0.8673161601174009
mlp2_mnist,sgd,2042,21,0.244162081841722,0.8681478165502488
mlp2_mnist,sgd,2042,22,0.23839447348160658,0.8623844653455676
mlp2_mnist,sgd,2042,23,0.23365227290918428,0.860464720175068
mlp2_mnist,sgd,2042,24,0.2287319371035549,0.8602280052077068
mlp2_mnist,sgd,2042,25,0.22344876570487646,0.8550511769960079
mlp2_mnist,sgd,2042,26,0.21851070440020046,0.8546747886252926
mlp2_mnist,sgd,2042,27,0.21236546533252432,0.8520230204863768
mlp2_mnist,sgd,2042,28,0.20717030261759112,0.8508649313756868
mlp2_mnist,sgd,2042,29,0.2017202569031566,0.8476452587834491
mlp2_mnist,sgd,2042,30,0.1974284850771171,0.8428143120483521
mlp2_mnist,sgd,2042,31,0.19283002246671405,0.8452763441120426
mlp2_mnist,sgd,2042,32,0.18764763743392093,0.841935969218172
mlp2_mnist,sgd,2042,33,0.1833163490628049,0.8377114625613511
mlp2_mnist,sgd,2042,34,0.17817048900004415,0.8366495518873325
mlp2_mnist,sgd,2042,35,0.17352461882941053,0.83625536244438
mlp2_mnist,sgd,2042,36,0.16868736281668212,0.8314431812429685
mlp2_mnist,sgd,2042,37,0.16397453119423963,0.8308582552251196
mlp2_mnist,sgd,2042,38,0.1599273314967313,0.8308329984647245
mlp2_mnist,sgd,2042,39,0.15511697230681362,0.8218483574898375
mlp2_mnist,sgd,2042,40,0.15108303456494984,0.827520567828696
mlp2_mnist,sgd_momentum,142,0,1.0,1.0
mlp2_mnist,sgd_momentum,142,1,0.8783171805160698,0.4874037906790501
mlp2_mnist,sgd_momentum,142,2,0.7939541906368079,0.6150676393262546
mlp2_mnist,sgd_momentum,142,3,0.7278479279709015,0.6140618289822319
mlp2_mnist,sgd_momentum,142,4,0.6757920024423608,0.6097946228027157
mlp2_mnist,sgd_momentum,142,5,0.6306942161917745,0.6131126901198236
mlp2_mnist,sgd_momentum,142,6,0.5938226822160346,0.6070581045209813
mlp2_mnist,sgd_momentum,142,7,0.5618314118821861,0.6065279212064828
mlp2_mnist,sgd_momentum,142,8,0.533557314697952,0.6001610854982119
mlp2_mnist,sgd_momentum,142,9,0.5094454729718882,0.604946627260632
mlp2_mnist,sgd_momentum,142,10,0.4867198485547495,0.5904216150621193
mlp2_mnist,sgd_momentum,142,11,0.4673120726604562,0.6001747269434142
mlp2_mnist,sgd_momentum,142,12,0.45118872990046227,0.5965243987961333
mlp2_mnist,sgd_momentum,142,13,0.4336774076425386,0.5901190846255198
mlp2_mnist,sgd_momentum,142,14,0.4167542198918388,0.586867370540309
mlp2_mnist,sgd_momentum,142,15,0.4014844271786668,0.5873233862329811
