source_csv,seed,k,pct,block_size_normalized,n_nulls,n_rows,raw_pperm_triggers,formal_triggers,block_diagnostic_triggers,source_formal_trigger_mismatches
results/resnet_positive_controls/positive_control_drift_0.00_corrected.csv,,,,10.0,50.0,7,0,0,0,0
results/resnet_positive_controls/positive_control_drift_0.00_corrected.csv,,,,20.0,50.0,7,0,0,0,0
results/resnet_positive_controls/positive_control_drift_1.00_corrected.csv,,,,1.0,200.0,7,0,0,0,0
results/resnet_positive_controls/positive_control_drift_1.00_corrected.csv,,,,5.0,50.0,7,0,0,0,0
results/resnet_positive_controls/positive_control_drift_1.00_corrected.csv,,,,10.0,50.0,7,0,0,0,0
results/resnet_positive_controls/positive_control_drift_1.00_corrected.csv,,,,20.0,50.0,7,0,0,0,0
results/synthetic_validation/synthetic_validation_results.csv,,,,,,2,0,0,0,0
results/transition_focused_robustness/analysis_summary.csv,,,,,,6,0,0,0,0
results/transition_focused_robustness/per_k_summary.csv,,6.0,,,,6,0,0,0,0
results/transition_focused_robustness/per_k_summary.csv,,8.0,,,,6,0,0,0,0
results/transition_focused_robustness/per_k_summary.csv,,10.0,,,,6,0,0,0,0
results/transition_focused_robustness/per_k_summary.csv,,12.0,,,,6,0,0,0,0
results/transition_focused_robustness/per_k_summary.csv,,14.0,,,,6,0,0,0,0
results/transition_focused_robustness/per_k_summary.csv,,16.0,,,,6,0,0,0,0
results/transition_focused_robustness/per_k_summary.csv,,20.0,,,,6,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,6.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,6.0,99.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,101.0,8.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,8.0,98.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,101.0,8.0,99.0,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,101.0,10.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,10.0,99.0,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,101.0,10.0,99.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,101.0,12.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,12.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,101.0,14.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,14.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,101.0,16.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,16.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,101.0,20.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,101.0,20.0,99.5,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,202.0,6.0,0.0,,,5,0,0,0,0
results/transition_focused_robustness/raw_results.csv,202.0,6.0,98.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,202.0,8.0,0.0,,,4,0,0,0,0
