dataset,type,k,N_SAMPLES,SUBSAMPLE,N_NULLS,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger,k_init,k_used,seed
helix_p25_r3,helix,12,1200,600,200,50,95.0,0.05,0.001,5.0,0.002156888134777546,0.018069974146783352,0.06165982969105244,0.1193631001980228,1.0,0.0,-1.9706054358533445,-0.05950294155627489,0.0,False,False,False,False,False,False,12,12,200
helix_p25_r3,helix,12,1200,600,200,50,95.0,0.05,0.001,5.0,0.0007645878940820694,0.01900049578398466,0.0756639838218689,0.04024041807826367,1.0,0.0,-1.9115949122521103,-0.07489939592778683,0.0,False,False,False,False,False,False,12,12,300
helix_p25_r3,helix,12,1200,600,200,50,95.0,0.05,0.001,5.0,0.0010167313739657402,0.017332322895526886,0.07343950122594833,0.05866099887681395,1.0,0.0,-2.110272422200391,-0.0724227698519826,0.0,False,False,False,False,False,False,12,12,400
helix_p25_r3,helix,12,1200,600,200,50,95.0,0.05,0.001,5.0,0.0022025099024176598,0.018024238757789135,0.07802357710897923,0.12219711089566282,1.0,0.0,-2.023472040212432,-0.07582106720656157,0.0,False,False,False,False,False,False,12,12,500
helix_p25_r3,helix,12,1200,600,200,50,95.0,0.05,0.001,5.0,0.0005075214430689812,0.01800309307873249,0.05477864295244217,0.02819079148351115,1.0,0.0,-2.338033450692007,-0.05427112150937319,0.0,False,False,False,False,False,False,12,12,600
helix_p25_r3,helix,14,1200,600,200,50,95.0,0.05,0.001,5.0,0.0004186965525150299,0.016188976354897022,0.05298355221748352,0.02586306529273019,1.0,0.0,-2.0908840268843916,-0.05256485566496849,0.0,False,False,False,False,False,False,14,14,100
helix_p25_r3,helix,14,1200,600,200,50,95.0,0.05,0.001,5.0,0.002163066528737545,0.01613243017345667,0.05527937412261963,0.13408187764311189,1.0,0.0,-1.781084134182214,-0.053116307593882084,0.0,False,False,False,False,False,False,14,14,200
helix_p25_r3,helix,14,1200,600,200,50,95.0,0.05,0.001,5.0,0.0007672766223549843,0.01559825986623764,0.07520689070224762,0.049189885851726387,1.0,0.0,-2.01413344841174,-0.07443961407989264,0.0,False,False,False,False,False,False,14,14,300
helix_p25_r3,helix,14,1200,600,200,50,95.0,0.05,0.001,5.0,0.001020488329231739,0.01587412692606449,0.0702422522008419,0.06428626493415925,1.0,0.0,-2.1978708487197234,-0.06922176387161016,0.0,False,False,False,False,False,False,14,14,400
helix_p25_r3,helix,14,1200,600,200,50,95.0,0.05,0.001,5.0,0.002208217978477478,0.015653000213205814,0.07400651462376118,0.14107314561162654,1.0,0.0,-2.164108827131562,-0.0717982966452837,0.0,False,False,False,False,False,False,14,14,500
helix_p25_r3,helix,14,1200,600,200,50,95.0,0.05,0.001,5.0,0.0005090069025754929,0.01516270637512207,0.05449990555644035,0.03356966031981381,1.0,0.0,-2.3701711285457474,-0.05399089865386486,0.0,False,False,False,False,False,False,14,14,600
helix_p25_r3,helix,16,1200,600,200,50,95.0,0.05,0.001,5.0,0.00041959621012210846,0.015079460106790066,0.051554299890995026,0.02782567858018634,1.0,0.0,-2.5184798707922766,-0.05113470368087292,0.0,False,False,False,False,False,False,16,16,100
helix_p25_r3,helix,16,1200,600,200,50,95.0,0.05,0.001,5.0,0.002170099876821041,0.014108089730143547,0.05210116505622864,0.15381954029045866,1.0,0.0,-2.348235752933386,-0.0499310651794076,0.0,False,False,False,False,False,False,16,16,200
helix_p25_r3,helix,16,1200,600,200,50,95.0,0.05,0.001,5.0,0.000768822617828846,0.01517786830663681,0.07045915350317955,0.05065418952423045,1.0,0.0,-2.129094911704866,-0.0696903308853507,0.0,False,False,False,False,False,False,16,16,300
helix_p25_r3,helix,16,1200,600,200,50,95.0,0.05,0.001,5.0,0.0010239025577902794,0.014831531792879105,0.07313389703631401,0.06903552323657079,1.0,0.0,-2.3810779888421707,-0.07210999447852373,0.0,False,False,False,False,False,False,16,16,400
helix_p25_r3,helix,16,1200,600,200,50,95.0,0.05,0.001,5.0,0.002212628722190857,0.014872664585709572,0.0735076256096363,0.148771506900525,1.0,0.0,-2.243120577479224,-0.07129499688744545,0.0,False,False,False,False,False,False,16,16,500
helix_p25_r3,helix,16,1200,600,200,50,95.0,0.05,0.001,5.0,0.000510060228407383,0.01419660821557045,0.06012850999832153,0.03592831616019625,1.0,0.0,-2.714428421207009,-0.05961844976991415,0.0,False,False,False,False,False,False,16,16,600
helix_p25_r3,helix,20,1200,600,200,50,95.0,0.05,0.001,5.0,0.00042140204459428787,0.014442941173911095,0.0498528778553009,0.029177024228715095,1.0,0.0,-3.0829804958426026,-0.049431475810706615,0.0,False,False,False,False,False,False,20,20,100
helix_p25_r3,helix,20,1200,600,200,50,95.0,0.05,0.001,5.0,0.002177175134420395,0.01369289867579937,0.0489165373146534,0.1590003100007818,1.0,0.0,-2.513903369503347,-0.046739362180233,0.0,False,False,False,False,False,False,20,20,200
