arch,optimizer,k_value,filtration_pct,n_seeds,seeds_fired,p_min,p_median,zrob_median,Lobs_median
resnet18_cifar10,adamw,10,99.0,3,0,0.4901960784313725,1.0,0.0,0.0
resnet18_cifar10,adamw,12,90.0,3,0,0.2941176470588235,1.0,0.0,0.0
resnet18_cifar10,adamw,12,95.0,3,0,0.5098039215686274,1.0,0.0,0.0
resnet18_cifar10,adamw,12,99.0,3,0,0.392156862745098,1.0,0.0,0.0
resnet18_cifar10,adamw,16,90.0,3,0,0.392156862745098,1.0,0.0,0.0
resnet18_cifar10,adamw,16,95.0,3,0,0.3529411764705882,1.0,0.0,0.0
resnet18_cifar10,adamw,16,99.0,3,0,0.4313725490196078,1.0,0.0,0.0
resnet18_cifar10,sgd,8,90.0,3,2,0.0196078431372549,0.0392156862745098,130.75102895476098,0.0153148528188467
resnet18_cifar10,sgd,8,95.0,3,2,0.0392156862745098,0.0392156862745098,106.17394740272142,0.0153148528188467
resnet18_cifar10,sgd,8,99.0,3,2,0.0196078431372549,0.0392156862745098,148.57814739137305,0.0153148528188467
resnet18_cifar10,sgd,10,90.0,3,0,0.0784313725490196,0.0980392156862745,6.792713736714208,0.0008712373673915
resnet18_cifar10,sgd,10,95.0,3,1,0.0392156862745098,0.196078431372549,6.737220816949525,0.0008712373673915
resnet18_cifar10,sgd,10,99.0,3,0,0.0980392156862745,0.1176470588235294,9.863367076390318,0.0008712373673915
resnet18_cifar10,sgd,12,90.0,3,0,0.0588235294117647,0.0980392156862745,4.581191823301251,0.0009292028844356
resnet18_cifar10,sgd,12,95.0,3,0,0.0980392156862745,0.1568627450980392,6.419408069457736,0.0009292028844356
resnet18_cifar10,sgd,12,99.0,3,0,0.0784313725490196,0.0980392156862745,10.852714425120348,0.0009292028844356
resnet18_cifar10,sgd,16,90.0,3,0,0.0588235294117647,0.1764705882352941,4.2836192406540405,0.0010216776281595
resnet18_cifar10,sgd,16,95.0,3,0,0.1372549019607843,0.1764705882352941,4.103974636245297,0.0010216776281595
resnet18_cifar10,sgd,16,99.0,3,1,0.0392156862745098,0.0784313725490196,4.807480730700362,0.0010216776281595
resnet18_cifar10,sgd_momentum,8,90.0,3,0,0.2549019607843137,0.2941176470588235,28.226730461597967,0.001009116647765
resnet18_cifar10,sgd_momentum,8,95.0,3,0,0.196078431372549,0.196078431372549,125.37367129301356,0.001009116647765
resnet18_cifar10,sgd_momentum,8,99.0,3,0,0.1764705882352941,0.2352941176470588,89.12479393472317,0.001009116647765
resnet18_cifar10,sgd_momentum,10,90.0,3,0,0.1764705882352941,0.2745098039215686,61.03835498845857,0.000953605165705
resnet18_cifar10,sgd_momentum,10,95.0,3,0,0.196078431372549,0.196078431372549,91.23766713388667,0.000953605165705
resnet18_cifar10,sgd_momentum,10,99.0,3,0,0.2745098039215686,0.2745098039215686,91.01808183281528,0.000953605165705
resnet18_cifar10,sgd_momentum,12,90.0,3,0,0.2156862745098039,0.2941176470588235,70.38922298033249,0.0009331032633781
resnet18_cifar10,sgd_momentum,12,95.0,3,0,0.2352941176470588,0.2745098039215686,137.21173364548454,0.0009331032633781
resnet18_cifar10,sgd_momentum,12,99.0,3,0,0.2352941176470588,0.2745098039215686,25.70807007216729,0.0009331032633781
resnet18_cifar10,sgd_momentum,16,90.0,3,0,0.2549019607843137,0.3137254901960784,49.824257985173205,0.0010896681342273
resnet18_cifar10,sgd_momentum,16,95.0,3,0,0.2156862745098039,0.2352941176470588,46.30175574423866,0.0010896681342273
resnet18_cifar10,sgd_momentum,16,99.0,3,0,0.2549019607843137,0.3137254901960784,36.50574980055802,0.0010896681342273
smallcnn_cifar10,adam,8,90.0,3,0,0.5074626865671642,0.5323383084577115,-0.6206985663508668,0.0002486720331944
smallcnn_cifar10,adam,8,95.0,3,0,0.4875621890547263,0.5373134328358209,-0.6259284442935642,0.0002486720331944
smallcnn_cifar10,adam,8,99.0,3,0,0.4925373134328358,0.5572139303482587,-0.6388240798948485,0.0002486720331944
smallcnn_cifar10,adam,10,90.0,3,0,0.5223880597014925,0.5422885572139303,-0.6143477644775209,0.0002807002747431
